author,key,affiliation
Akiharu Sakata,conf/icde/ToriiKYSTKTI87|conf/icde/ToriiKKSYT88,Shanghai Institue of Foreign Trade
Akihiro Kashihara,journals/ijmms/YanoKM92,East-West University
Akihito Akutsu,journals/ieeemm/TonomuraATS94|conf/mm/TaniguchiATH95,Ho Chi Minh City University of Technology
Akikazu Takeuchi,conf/slp/MiyachiKKFTY84|conf/fgcs/FurukawaTKYOU84,Murdoch University
Akiko Kanaya,conf/icde/IshikawaKOYKK98,Paktia University
Akiko Kondo,conf/icde/IshikawaKOYKK96,University of Central Oklahoma
Akiko N. Aizawa,journals/tkde/WahICA95|journals/ec/AizawaW94,"University of California, Santa Barbara"
Akinari Masuyama,conf/ifip/TanakaNM80,Mills College
Akinori Yonezawa,conf/oopsla/MasuharaMWY92,Canadian Sudanese College
Akio Kokubu,conf/ifip/UemuraYKOS80,International University of Management
Akio Nagasaka,conf/vdb/NagasakaT91,Nagaoka University of Technology
Akio Tanaka,conf/fgcs/SakaiIKATSM84,Nakhchivan Private University
Akira Aiba,journals/ngc/UchidaHYCNA93|journals/jsc/SakaiA89|conf/fgcs/AibaH92,Tashkent Islam University
Akira Fukuda,conf/er/TagashiraSIF98,University of Aquila
Akira Hattori,conf/icde/YokotaKH89|conf/isca/HayashiHA83,University of North Bengal
Akira Kawaguchi,conf/sigmod/ColbyKLMR97|conf/icdt/KawaguchiLMQR97|conf/dbpl/KawaguchiLMR97|conf/pdis/WolfsonZBKM93|conf/views/KawaguchiLMR96,"Evangelische Fachhochschule für Sozialpädagogik der ""Diakonenanstalt des Rauhen Hauses"" Hamburg"
Akira Kumamoto,conf/dasfaa/EguchiIKK99,Salem Teikyo University
Akira Matsumoto,journals/ngc/OnaiASMM85,Universidade de Mogi das Cruzes
Akira Sato,conf/dasfaa/KitakamiMAS97,Shiga University
Akira Shibamiya,journals/ibmsj/ChengLSW84,Universidade Metropolitana de Santos
Akira Takano,conf/icse/SunoharaTUO81,National Institute of Mental Health and Neuro Sciences
Akira Uemori,conf/spieSR/SuzukiNUS94,Universidad Marcelino Champagnat
Akira Urano,journals/acta/TsudaUS83,Technological University (Dawei)
Akira Yamamoto,journals/ngc/YokotaYTNU83,ITT Technical Institute Fort Wayne
Akis Fitas,journals/software/GibbsTFKY87,Albion College
Akmal B. Chaudhri,journals/sigmod/Chaudhri98|journals/sigmod/Chaudhri95,Lebanon Valley College
Akshay Goel,conf/pods/GangulyGS96,"College of Science, Baghdad University"
Al Geist,journals/pc/SunderamGDM94,Lutheran Bible Institute of Seattle
Al Kepner,conf/aaai/KahnKP87,Buckinghamshire New University
Al Khorasani,journals/tois/WhangABHHHKKSSWZ87,"City University of New York, Brooklyn College"
Al Milewski,conf/aaai/KautzSM96,London School of Business & Finance
Al Nieder,journals/csur/PoochN73,Instituto Tecnológico de León
Aladdin Hafez,journals/tkde/OzsoyogluH93|conf/vldb/HafezO88|journals/debu/Hafez88,Zhengzhou University of Technology
Alain April,journals/ijmms/MissaouiA93,Canadian Mennonite University
Alain Bazan,conf/ideas/McClatcheyKEGHBFB98|conf/dexaw/BakerBCEKFGLMMV98,San Joaquin College of Law
Alain Callebaut,conf/slp/BruynoogheJCD87,Shiraz University
Alain Colmerauer,journals/cacm/Colmerauer90|conf/adbt/ColmerauerP79,Beder University
Alain Deutsch,conf/popl/Deutsch90,Universidad Rural de Guatemala
Alain Fournier,journals/tog/FournierM84,Ilsa Independent College
Alain Giboin,conf/ekaw/DiengGTC92,University of South Carolina - Lancaster
Alain J. Martin,journals/cacm/DijkstraLMSS78|conf/slp/LiM86,Vermont Technical College
Alain Karsenty,conf/icdcs/KarsentyB93,Hansung University Seoul
Alain Michard,journals/cn/MichardCSSSV98,American University of Armenia
Alain Pirotte 0001,journals/tkde/PirotteRZ91|conf/icde/PirotteR89|conf/sigmod/ManolaP82|conf/vldb/LacroixP77|conf/vldb/LouisP82|conf/vldb/PirotteZMY94|conf/vldb/Pirotte79|journals/sigmod/Pirotte82|journals/is/LacroixP83|conf/sigmod/LacroixP80|conf/icod/ManolaP83|conf/adbt/Pirotte77,"University of Education, Winneba"
Alain Quéré,journals/iandc/PairQ68,"Islamic Azad University, Sanandaj"
Alain Sandoz,conf/wdag/SchiperES89,Queens University
Alain T. Rappaport,journals/ijmms/Rappaport88|journals/ijmms/Rappaport87,Al-Ahliyya Amman University
Alain Würgler,conf/er/NorrieSWW96,MCI-Management Center Innsbruck
Alan B. Sheltzer,conf/icdcs/SheltzerLP86,University of Maryland (System)
Alan Borning,journals/tkde/AmadorBBDFNNSSSSWW93|journals/tois/WeyerB85|journals/cacm/Freeman-BensonMB90|journals/toplas/Borning81|conf/popl/BorningI82,Pomona College
Alan Bundy,journals/ai/BundyW81|journals/ai/BundySP85|journals/jar/Bundy85|conf/cade/SterlingB82,Tennessee State University
Alan C. Schultz,journals/ml/GrefenstetteRS90,North Kazakhstan State University
Alan Carle,conf/sde/AlpernCRSZ88,Baptist Bible College of Missouri
Alan D. Berenbaum,conf/asplos/BerenbaumCL82,Ecole Nationale d'Administration
Alan D. Fekete,conf/pods/FeketeLW90|conf/pods/FeketeLMW87|conf/mfdbs/LeeF91|conf/icdt/LynchMWF88|conf/icdt/FeketeLW92|conf/vldb/AspnesFLMW88|journals/computer/Fekete93|journals/jcss/FeketeLMW90|conf/pos/FeketeLMW89,Yarmouk University
Alan Dearle,conf/dbpl/AlbanoDGMMOS89|conf/dbpl/FarkasD93|conf/dbpl/DearleRV91|conf/dbpl/DearleCBM89|conf/edbt/ConnorDMB90|conf/vldb/CooperADA87|journals/csys/DearleBFHLRV94|journals/ipl/MorrisonABD90|journals/cacm/RosenbergDHLN96|journals/toplas/MorrisonDCB91|journals/cj/DearleB88|journals/spe/MorrisonBBDD86|conf/pos/MorrisonBCCDA89|conf/pos/DearleCK89|conf/pos/BushellDBV94|conf/pos/KochSDVMFB90|conf/pos/FarkasDKCMC92|conf/pos/VaughanD92|conf/pos/ConnorBCDMR90|conf/pos/ConnorBCDM89|conf/pos/KirbyCCMDF92|conf/icse/MorrisonDBBA85|conf/oodbs/MorrisonBCCD88,University of Dubuque
Alan Downing,conf/sigmod/DanielsDDEHJJLSSS94|conf/vldb/BelloDDFNSWZ98,National College of Arts
Alan E. Kulawik,journals/micro/BodenCFKSSS95,Atlantic University
Alan Emtage,journals/csys/SchwartzEKN92,University of Saint La Salle
Alan Eustace,conf/pldi/SrivastavaE94,Al-Birony University
Alan F. Dickey,conf/sigmod/WintersD76,Orenburg State University
Alan F. Smeaton,conf/sigir/SmeatonQ96|conf/sigir/SmeatonR81,Universidad de León
Alan Farris,conf/ssdbm/Farris94,Hogere Zeevaartschool - Maritime Academy
Alan G. Ganek,journals/ibmsj/ScalziGS89,Southwest University of Nationalities
Alan G. Konheim,journals/jacm/BlakeK77|journals/siamcomp/HofriK87|conf/icalp/ItaiKR81,Universidad Tecnologica de Nezahualcoyotl
Alan G. Merten,conf/sigmod/NavatheM75|conf/vldb/YaoM75|conf/sigmod/MertenF74|conf/sigmod/YamaguchiM74|conf/sigmod/BehymerOM74,Odessa State Academy of Construction and Architecture
Alan G. Quan,conf/ijcai/SchwuttkeQ93,American University in Cairo
Alan H. Goldfine,conf/er/Goldfine85|journals/sigmod/FongG86,University of Toledo
Alan J. Demers,conf/pdis/TerryDPSTW94|journals/toplas/DonahueD85|journals/toplas/RepsTD83|journals/siamcomp/JohnsonDUGG74|conf/popl/DemersRT81|conf/popl/DemersDS78|conf/pldi/BoehmDS91|conf/sosp/TerryTPDSH95|conf/sosp/PetersenSTTD97|conf/podc/DemersGHIL87,Al Nahrain University
Alan J. Kent,journals/tkde/Sacks-DavisKRTZ95|journals/tods/Sacks-DavisK87|conf/vldb/KentSR88|journals/acj/ThomKS91|conf/dexa/FullerKSTWZ91,Melaka Islamic University College
Alan J. Perlis,journals/cacm/DeMilloLP79,Universidad Privada Sergio Bernales
Alan Jay Smith,journals/tods/Smith78|journals/vldb/SinghalS97|journals/tocs/Smith85|journals/tc/HillS89|journals/tse/Smith81a|journals/csur/Smith82|journals/cacm/Smith81,Universiti Tun Hussein Onn Malaysia
Alan K. Mackworth,journals/ai/MackworthF93|journals/ai/Mackworth92|journals/ai/Mackworth77|journals/ai/KleerMR92|journals/ai/ReiterM89,Nanjing University of Traditional Chinese Medicine
Alan Kaplan,conf/pos/KaplanW94,Henan Univeristy
Alan L. Cox,journals/computer/AmzaCDKLRYZ96|conf/isca/KeleherCZ92,Trident University
Alan L. Rector,conf/icde/GobleGNR93|conf/ids/HawGR94,Université de Toulouse-le-Mirail (Toulouse II)
Alan L. Tharp,journals/tkde/BrainT94|conf/icde/RuchteT87|conf/dasfaa/OuT91|journals/is/TaiT81|journals/is/BrainT90|journals/is/HsiaoT88|journals/cj/OuT91|journals/spe/BrainT89|journals/spe/TharpT82|conf/icci/BoswellT90,Corporación Universitaria de Santander (UDES)
Alan Lazar,journals/ijcis/BrachmanSTAHKL93,Université de Mostaganem
Alan M. Davis,journals/cacm/Davis88|journals/cacm/BersoffD91,Universidad Veracruzana
Alan M. Frieze,journals/jacm/DyerFK91|journals/siamcomp/DyerF88|conf/soda/BroderFU93|conf/focs/FriezeKV98|conf/stoc/BroderCFM98,Universidad de Ciencias Empresariales y Sociales
Alan M. Frisch,journals/ai/Frisch91|journals/ai/FrischH94|conf/kr/Frisch89,Novosibirsk State Technical University
Alan M. Mainwaring,journals/pc/Tucker94,Fuzhou University
Alan Mycroft,journals/ai/MycroftO84,Aarhus Technical College
Alan P. Batson,journals/computer/McKeeKWWSAB98,University of Essex
Alan P. Parkes,journals/mta/NackP97,Huanghe Science & Technology University
Alan P. Sexton,conf/cdb/Sexton97,University of Rajshahi
Alan P. Sheng,conf/icde/PrellS84,University of Huddersfield
Alan Purdy,journals/debu/MaierOP85|journals/tois/PurdySM87|conf/oopsla/MaierSOP86,Saito College
Alan R. Aronson,journals/tods/JacobsAK82|journals/jasis/WrightNAR99,Universidad del Mar
Alan R. Dennis,journals/cacm/NunamakerDVVG91,Baptist Bible College of Pennsylvania
Alan R. Downing,conf/parbase/DowningGP90|conf/wmrd/DowningGP90,University of Technology - Iraq
Alan R. Hevner,conf/vldb/BlankinshipHY91|journals/ac/HevnerR88|journals/tois/YaoHSL84|journals/tois/HevnerWY85|journals/tse/HevnerY79|journals/tse/ApersHY83|journals/dke/ElmasriWH85|conf/berkeley/HevnerY78,Columbus State University
Alan R. Katz,journals/computer/ReynoldsPKFD85,Ecole Nationale d'Ingénieurs de Metz
Alan R. Segal,journals/tse/RiddleWSSS78,Marymount University
Alan Ray,journals/ipm/TavakoliR92,"Florida Metropolitan University, Tampa College Brandon"
Alan S. Ferrency,journals/tse/MyersMMFFKMKD97,Upper Iowa University
Alan Shaw,journals/csur/FurutaSS82,Universitas Ahmad Dahlan
Alan Siegel,conf/stoc/FiatNSSS88|conf/stoc/FiatNSS88,Benson Idahosa University
Alan Snyder,journals/tse/LiskovS79|journals/cacm/LiskovSAS77|conf/oopsla/Snyder86,"Florida Metropolitan University, Tampa College Brandon"
Alan Sussman,journals/sigmod/ChangASS98|conf/icde/ChangMASSS97|conf/iopads/AcharyaUBMBHSS96,Regent University
Alan W. Biermann,conf/ac/Biermann85,Swarthmore College
Alan W. Brown,conf/bncod/BrownTD90,Kyoto Prefectural University
Alan W. Nordstrom,journals/iandc/NordstromR67,Bucknell University
Alan Weiss,journals/tse/KruskalW85,Chongqing Vocational College of Public Transportation
Alan de Pennington,journals/tkde/McKayBP96,William Carey College
Alasdair Urquhart,journals/jacm/Urquhart87,University of World Economy and Diplomacy
Albert A. Angehrn,journals/cacm/AngehrnD98,Universitat Jaume I de Castellón
Albert Burger,journals/tkde/KumarB92|conf/icde/KumarB91,Universidad Pedagógica Veracruzana
Albert Chang,journals/tocs/ChangM88|conf/sosp/ChangM87,Ho Chi Minh City University of Foreign Languages and Information Technology
Albert Chen,journals/debu/ChenKPSSVZ93,Louisiana State University at Alexandria
Albert Chuang-shi Yu,journals/computer/LiuLSYCZ91,Sirte University
Albert Croker,journals/tkde/DharV93|journals/tods/CliffordC94|conf/icde/CrokerM86|conf/icde/CliffordC87|journals/debu/CliffordC88|journals/expert/DharC88,"Islamic Azad University, Bostanabad"
Albert D. Alexandrov,conf/spaa/AlexandrovISS95,Hokuriku University
Albert Endres,journals/tse/Endres75,Kenya College of Accountancy
Albert G. Burger,conf/bncod/BurgerT94,Seton Hall University
Albert H. Stone III,conf/er/FullertonSH83,Columbus College of Art and Design
Albert J. Turner,journals/tse/BasiliT75,Universidad Nacional Agraria
Albert John Camilleri,conf/tphol/Camilleri97,Universitas Negeri Malang
Albert L. Baker,journals/tse/BakerZ79|journals/tse/BakerZ80,Kanazawa College of Economics
Albert L. Zobrist,journals/computer/ZobristN81,Australlian College of Kuwait 
Albert Maier,journals/lncs/BenzschawelGLLMW91|conf/btw/LudwigWLMG89,Shanmugha Arts Science Technology and Research Academy
Albert Mo Kim Cheng,journals/tkde/ChenC95|journals/tkde/ZupanC98|journals/tse/ChengBMW93|conf/aaai/TsaiC94|conf/rtss/WangMC90,Manuel S. Enverga University Foundation
Albert R. Meyer,journals/tcs/BrussM80|journals/toplas/GreifM81|journals/iandc/Meyer82|conf/focs/FischerM71|conf/popl/GreifM79|conf/popl/MeyerR86|conf/icalp/BloniarzFM76|conf/stoc/StockmeyerM73|conf/stoc/BrussM78,Polytechnic University of the Philippines
Albert Rubio,journals/jsc/NieuwenhuisR95,Voronezh State Agricultural University
Albert S. Bergendahl,journals/computer/McDonaldGSDB87,Universidad Pedagógica y Tecnológica de Colombia
Albert S. Hoagland,journals/computer/Hoagland85|journals/tc/Hoagland76,Universidad EAFIT
Albert Vernon,conf/icde/HansonCHKNPPV99,Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux
Albert Wang,journals/jpdc/KaddouraRW96,Sampurnanand Sanskrit University
Albert Zündorf,conf/esec/SchurrWZ95,Universidad Militar Nueva Granada
Alberto Apostolico,journals/algorithmica/ApostolicoP96,Sterlitamak State Pedagogical Institute
Alberto Belussi,journals/tkde/BelussiBC98|conf/vldb/BelussiF95|conf/cp/CataniaBB98|conf/ssd/BelussiBC97,"Akrofi-Christaller Institute of Theeology, Mission and  Culture"
Alberto Caprara,journals/tkde/CapraraFM95,Atilim University
Alberto Coen-Porisini,journals/debu/Coen-PorisiniLZ91|conf/future/Coen-PorisiniLZ92,Inchon National University of Education
Alberto Del Bimbo,journals/tkde/BimboVZ95|journals/tse/BimboCN93|journals/vlc/CorridoniBLH96|conf/vdb/BimboV98|conf/vl/BimboPS94,Ho Chi Minh City University of Technology
Alberto H. F. Laender,conf/er/LaenderF93|conf/er/CasanovaTL90|conf/er/SilvaLC96|conf/er/CasanovaCRL91|conf/er/SilvaLRG99|journals/dke/CasanovaTL93|journals/is/LaenderCCR94|journals/cj/FlynnL85|conf/cikm/Ribeiro-NetoLS99|conf/dexaw/OliveiraEALC95,Nayanova University
Alberto Marchetti-Spaccamela,conf/pods/Marchetti-SpaccamelaPS87|journals/jlp/Marchetti-SpaccamelaPS91|journals/ai/DoniniLNHNM92|journals/tcs/AusielloIMN92|journals/jal/AusielloIMN91|conf/wg/FeuersteinM91|conf/stoc/KarpLM84,University of South Bohemia
Alberto Martelli,journals/cacm/MartelliM78|journals/toplas/MartelliM82|conf/slp/MartelliMR86,Vilnius Gediminas Technical University
Alberto Motta,conf/views/FerrariBBMS96,Instituto Tecnológico de San Luis Potosí
Alberto O. Mendelzon,journals/sigmod/SnodgrassHMOPRRWY98|journals/sigmod/FlorescuLM98|journals/dr/Mendelzon00|journals/dr/Mendelzon99|journals/dr/Mendelzon00a|journals/dr/Mendelzon99a|journals/cacm/ArocenaM98|journals/tods/Mendelzon84|journals/tods/MaierMS79|journals/tods/FaginMU82|journals/tods/MendelzonW91|conf/icde/HurtadoMV99|conf/icde/ArocenaM98|conf/dolap/HurtadoMV99|conf/er/ZhangM83|conf/sigmod/LaverMG83|conf/sigmod/CruzMW87|conf/sigmod/RafieiM97|conf/sigmod/ConsensM90|conf/sigmod/ConsensM93|conf/pods/GrahneMR92|conf/pods/GrahamM82|conf/pods/JagadishMM96|conf/pods/LakshmananM89|conf/pods/MendelzonM97|conf/pods/ChanM83|conf/pods/LevyMSS95|conf/pods/JagadishMM95|conf/pods/ConsensM90|conf/pods/MendelzonMW94|conf/icdt/HurtadoM01|conf/icdt/GrahneM99|conf/icdt/WoodMA88|conf/icdt/ConsensM90|conf/edbt/ConsensMV94|conf/edbt/MeccaMM98|conf/vldb/Mendelzon85|conf/vldb/MendelzonW89|conf/vldb/MendelzonM79|journals/ijcis/LinM98|journals/ipl/GrahamM82|journals/cn/ArocenaMM97|journals/jodl/MendelzonMM97|journals/sigmod/HasanMV96|journals/sigmod/ConsensCM92|journals/ai/KatsunoM92|journals/tcs/ConsensM93|journals/jcss/MaierMSU80|journals/jcss/GrahneMR97|journals/jacm/Mendelzon79|journals/jacm/ChanM87|journals/jacm/GrahamMV86|journals/ibmsj/ConsensEHMNRV94|journals/iandc/GrahneM95|journals/siamcomp/BeeriMSU81|journals/siamcomp/ChanM87|journals/siamcomp/MendelzonW95|conf/ifip/WilkieM83|conf/eds/CruzMW88|conf/pdis/MendelzonMM96|conf/fodo/RafieiM98|conf/kr/KatsunoM91|conf/stoc/BeeriMSU79|conf/stoc/BeeriFMMUY81|conf/icse/ConsensMR92|conf/ht/ConsensM89|conf/adbt/MaierMSU79|conf/ijcai/KatsunoM89,Gandhara Institute of Medical Sciences
Alberto Silvestri,conf/vldb/LefonsST83,Raghebe Esfahani University
Albrecht Blaser,conf/ibm/BlaserS75|conf/gi/LehmannB79,Malmö University College
Albrecht Schmiedel,journals/aim/Patel-SchneiderOKGMMMNSY90,Beijing Institute of Technology
Aldo Castillo,conf/icde/CastilloCS86,Americanos College
Alec Wolman,conf/asplos/RomerLVWWBBL96,"University Institute of Teacher Training ""Suor Orsola Benincasa"""
Alejandra Garrido 0001,conf/ht/RossiSG97,Berry College
Alejandro A. Schäffer,conf/stoc/FiatNSSS88,"Birla Institute of Technology, Ranchi"
Alejandro A. Vaisman,conf/icde/HurtadoMV99|conf/dolap/HurtadoMV99,Oulu Polytechnic
Alejandro D. Martínez,journals/ipl/MartinezWL90,Guangxi Traditional Chinese Medical University
Alejandro Gutiérrez,conf/vldb/GutierrezPST94,Baltic State Technical University
Alejandro P. Buchmann,journals/debu/BuchmannBKZ92|conf/icde/BuchmannZBW95|conf/icde/BuchmannMHD89|conf/icde/WuB98|conf/sigmod/BuchmannDZH95|conf/vldb/Buchmann85|conf/vldb/BatoryB84|journals/sigmod/DayalBBCHLMRSCLJ88|journals/sigmod/UlusoyB96|journals/sigmod/GuntherB90|journals/is/UlusoyB98|conf/btw/WuB97|conf/btw/DayalMBCGHOR87|conf/pos/Buchmann90|conf/rules/BrandingBKZ93|conf/nato/Buchmann93|conf/oodbs/BuchmannCV86|conf/oodbs/DayalBM88,East-West University
Aleksandar Popovic,conf/adbis/BudimacIP99,Delta International University
Ales Zivkovic,conf/adbis/JuricWRHBDZ99|journals/sigplan/HerickoJZRDK98,Fachhochschule Münster
Alessandra Chiuderi,conf/mfdbs/BarcucciCPV89,London School of Business & Finance
Alessandro Artale,journals/tkde/ArtaleCS96|conf/er/ArtaleF99|journals/jair/ArtaleF98|conf/pdk/ArtaleCS91,Xinghai Conservatory of Music
Alessandro Ciampichetti,journals/tkde/SamaratiBCJ97,Universidad Los Angeles de Chimbote
Alessandro D'Atri,conf/sigmod/DAtriMS83|conf/pods/DAtriM84|conf/pods/DAtriFM87|conf/pods/AusielloDM85|conf/mfdbs/DAtriFLM87|conf/ssdbm/DAtriR88|conf/vldb/DAtriS84|journals/acr/DAtriM86|journals/debu/DAtriT89|journals/tcs/AusiellodM85|journals/jcss/AusielloDM86|journals/jacm/AusielloDS83|conf/caise/AhlsenDJLLRRSTBCSVVV91|conf/wg/BatiniDM81|conf/eds/MotroDT88|conf/adbt/AusielloDM82|conf/gg/BatiniD78,University of North Carolina at Chapel Hill
Alessandro Forin,conf/usenix/GolubDFR90,State University of New York College of Optometry
Alessandro Masci 0001,conf/icde/AtzeniMMMT97|conf/sigmod/MeccaAMMS98,Atish Dipankar University
Alessandro Provetti,journals/jlp/BaralGP97,Al-Zaiem Al-Azhari University
Alessandro Saffiotti,conf/aaai/Saffiotti92|conf/aaai/Saffiotti90,Meiji Gakuin University
Alex Delis,journals/debu/RoussopoulosCKDP95|journals/tkde/DelisR98|conf/vldb/DelisR92|journals/sigmod/RoussopoulosD91|journals/tse/DelisR93|conf/icdcs/DelisR94,Rostov State University
Alex Farkas,conf/dbpl/FarkasD93|conf/pos/FarkasDKCMC92|conf/pos/KirbyCCMDF92,Leading University
Alex G. Büchner,journals/sigmod/BuchnerM98,United Arab Emirates University
Alex Gorelik,conf/sigmod/GorelikWD94,"Saint George's Hospital Medical School, University of London"
Alex Kean,journals/jsc/KeanT90,University of Peloponnese
Alex Klimovitski,journals/tse/MyersMMFFKMKD97,Shiga University of Medical Science
Alex Kononov,conf/edbt/RabinovichGK96,Hacettepe University
Alex Lopez-Suarez,journals/tkde/Lopez-SuarezK98|conf/ssdbm/McLeishCL88|conf/ssdbm/McLeishCL90,Maria Grzegorzewska College for Special Education
Alex Moenkeberg,journals/is/WeikumHMZ94,Universidad Nacional de Chimborazo
Alex Pang,conf/sigmod/NgLHP98|conf/sigmod/LakshmananNHP99,Universidad España de Durango
Alex Pentland,journals/ieeemm/PentlandPDH94|conf/spieSR/PentlandPS94,Ross University Caribbean School of Veterinary Medicine
Alex Quilici,conf/vl/GorlickQ94|conf/ijcai/Quilici89,Mississippi Valley State University
Alex Siegel,conf/sosp/OkiPSS93,Yerevan State University
Alex Thomo,conf/icdt/GrahneT01|conf/webdb/GrahneT00,Abylai Khan University
Alex Tsukerman,conf/sigmod/SalzbergTGSUV90,Assumption College
Alexander A. Razborov,journals/cc/BorodinRS93|journals/jcss/RazborovR97,National Hsin-Chu Teachers College
Alexander A. Sapozhenko,journals/tcs/BuroschDKKS91,Salem International University
Alexander A. Shvartsman,journals/csur/AbiteboulKMSV96|journals/dc/KanellakisS92|journals/jal/BussKRS96|conf/wdag/KanellakisMS93|conf/podc/KanellakisS91|conf/concur/KanellakisMS94,Eastern Kentucky University
Alexander Aiken,journals/tods/AikenHW95|conf/icde/AikenCSW96|conf/sigmod/OlstonWACELSS98|conf/sigmod/AikenWH92|conf/fpca/AikenW93|conf/ppcp/Aiken94|conf/lics/AikenW92|conf/popl/AikenWL94|conf/vl/WoodruffWTSPCA94,"Queen Mary and Westfield College, University of London"
Alexander Borgida,journals/sigmod/BorgidaCS98|journals/tkde/Borgida95|journals/tods/Borgida85|conf/sigmod/Borgida88|conf/sigmod/BorgidaB93|conf/sigmod/BorgidaBMR89|conf/sigmod/AgrawalBJ89|conf/sigmod/NixonCLBMS87|conf/pods/Borgida89|conf/dbpl/BorgidaMSW89|conf/vldb/BorgidaW85|conf/vldb/BorgidaW81|journals/debu/MylopoulosBGW84|journals/debu/SchmidtWBM89|journals/ai/Borgida96|journals/computer/BorgidaGM85|journals/tois/MylopoulosBJKT90|journals/jair/BorgidaP94|journals/tse/BorgidaMR95|journals/software/Borgida85|journals/is/MylopoulosBCRTW76|journals/is/GreenspanBM86|conf/cikm/Borgida94|conf/sde/MinskyB84|conf/ifip/BorgidaD92|conf/er/Borgida90|conf/aaai/CohenBH92|conf/db-workshops/GreenspanBM85|conf/db-workshops/NixonCLBMS85|conf/db-workshops/Borgida85|conf/db-workshops/BorgidaJMSV85|conf/db-workshops/BorgidaMW82|conf/db-workshops/BorgidaMW85|conf/wi/BorgidaGM85|conf/kr/BorgidaE89|conf/kr/Borgida92|conf/icse/GreenspanMB82|conf/icse/GreenspanMB94|conf/icse/BorgidaMR93|conf/dood/BorgidaW97,Instituto Tecnológico de San Luis Potosí
